,mineral_count,vispen_count,scv_count,reward
0,,,,
1,3060.0,440.0,31.0,20
2,2985.0,612.0,23.0,10
3,2010.0,288.0,23.0,5
4,2390.0,512.0,23.0,0
5,1580.0,464.0,22.0,10
6,1380.0,256.0,21.0,5
7,2360.0,460.0,23.0,5
8,2495.0,404.0,15.0,0
9,2365.0,324.0,23.0,0
10,1785.0,372.0,25.0,0
11,2780.0,372.0,23.0,5
12,2925.0,236.0,23.0,9
13,1600.0,456.0,21.0,5
14,1840.0,432.0,24.0,4
15,1410.0,484.0,23.0,4
16,2515.0,528.0,23.0,5
17,3325.0,280.0,23.0,9
18,1665.0,356.0,23.0,0
19,2465.0,516.0,27.0,5
20,2050.0,508.0,27.0,0
21,2450.0,456.0,29.0,14
22,3245.0,568.0,23.0,10
23,1915.0,420.0,23.0,9
24,1475.0,420.0,22.0,0
25,2605.0,336.0,23.0,5
26,2240.0,580.0,28.0,9
27,2375.0,596.0,23.0,4
28,1775.0,504.0,23.0,5
29,1445.0,400.0,22.0,10
30,2235.0,452.0,23.0,4
31,2010.0,416.0,15.0,0
32,2200.0,408.0,26.0,10
33,2440.0,384.0,23.0,4
34,2220.0,288.0,26.0,5
35,615.0,208.0,18.0,0
36,3145.0,432.0,23.0,10
37,2010.0,204.0,23.0,5
38,2660.0,372.0,29.0,5
39,2240.0,484.0,23.0,0
40,1715.0,316.0,23.0,5
41,1480.0,420.0,22.0,15
42,2215.0,296.0,23.0,4
43,2130.0,452.0,15.0,0
44,2730.0,336.0,23.0,9
45,1850.0,452.0,15.0,0
46,2260.0,472.0,23.0,0
47,1845.0,528.0,25.0,0
48,2725.0,420.0,23.0,0
49,1790.0,492.0,26.0,0
50,1670.0,328.0,15.0,0
51,1550.0,288.0,23.0,0
52,1810.0,336.0,23.0,9
53,2220.0,384.0,23.0,10
54,1775.0,536.0,23.0,5
55,1900.0,352.0,23.0,4
56,2270.0,612.0,23.0,0
57,1720.0,452.0,23.0,4
58,2165.0,332.0,23.0,5
59,2510.0,428.0,23.0,10
60,2035.0,396.0,23.0,5
61,3080.0,392.0,23.0,4
62,2030.0,432.0,23.0,10
63,2820.0,196.0,23.0,0
64,2000.0,288.0,15.0,5
65,1555.0,248.0,23.0,5
66,2655.0,392.0,29.0,0
67,1845.0,432.0,25.0,10
68,1520.0,396.0,15.0,0
69,2560.0,352.0,23.0,0
70,2250.0,444.0,23.0,10
71,2415.0,380.0,23.0,5
72,2010.0,496.0,27.0,4
73,1595.0,340.0,23.0,5
74,2860.0,380.0,23.0,0
75,2895.0,240.0,23.0,5
76,1815.0,432.0,23.0,5
77,2890.0,260.0,29.0,0
78,2640.0,392.0,23.0,0
79,2015.0,424.0,26.0,0
80,1700.0,304.0,22.0,0
81,2050.0,516.0,23.0,5
82,2545.0,504.0,23.0,0
83,2395.0,540.0,23.0,0
84,2640.0,324.0,29.0,10
85,2130.0,292.0,23.0,5
86,2460.0,352.0,27.0,0
87,2595.0,452.0,23.0,0
88,2170.0,584.0,28.0,5
89,2825.0,456.0,23.0,9
90,2100.0,248.0,25.0,0
91,2620.0,280.0,23.0,10
92,2465.0,588.0,23.0,5
93,1810.0,268.0,23.0,4
94,1490.0,520.0,23.0,5
95,2635.0,196.0,28.0,0
96,1270.0,316.0,21.0,0
97,2520.0,512.0,15.0,9
98,2000.0,256.0,21.0,10
99,1835.0,324.0,23.0,0
100,1525.0,516.0,22.0,0
101,2120.0,416.0,23.0,0
102,2640.0,656.0,29.0,4
103,2105.0,500.0,23.0,19
104,2825.0,516.0,23.0,24
105,1970.0,324.0,25.0,0
106,2200.0,196.0,23.0,0
107,2385.0,468.0,23.0,4
108,2575.0,252.0,23.0,0
109,2080.0,304.0,26.0,5
110,2140.0,288.0,23.0,0
111,2390.0,392.0,23.0,4
