state,0,1,2,3,4,5,6,7,8,9
"[0, 0, 0, 15, 12, 0]",7.116208453922994e-06,1.2095532517021674e-05,2.5745725692206205e-05,1.8112152729195446e-05,6.069529166129644e-06,0.0005598929636154393,9.03099489029036e-06,1.731580534513562e-05,3.9673268361650355e-06,1.5189862438919004e-06
"[0, 0, 0, 15, 13, 0]",3.126215895406979e-08,8.291795093510053e-08,2.9752100680250756e-08,4.101623583047895e-08,9.149145061021771e-07,2.5971838705704948e-08,8.024572896509722e-06,7.452524986944387e-08,9.421033778550916e-07,3.557210380174151e-08
"[0, 0, 0, 15, 14, 0]",0.0,0.0,0.0,8.160431820157719e-07,1.0911408779139e-07,0.0,1.9062221620085474e-05,7.269136123875219e-09,0.0,0.0
"[1, 0, 0, 15, 14, 0]",0.0,0.0,7.528479814131196e-07,5.66480284050859e-11,1.3186997767587996e-07,7.227957246229063e-08,0.0,0.0001597308862478383,5.6941813611438233e-11,5.660101571899129e-11
"[1, 0, 0, 15, 15, 0]",0.0,3.3367287909529545e-08,2.6622762194809706e-08,7.006519463034493e-09,1.046443642079774e-07,8.126482360491014e-06,0.0,0.0,6.364962607458142e-09,2.729706206725121e-08
"[1, 0, 0, 23, 15, 0]",0.013922968970368554,0.0004745460403514856,0.0007816244965387142,0.0009920601161163872,0.0007010615561159541,0.00029444235634033583,0.0004926020582978573,0.0005418333791605296,0.0008961398775335948,0.0004729945278142787
"[1, 0, 0, 23, 15, 1]",0.00033164649270958066,0.00015552316717699967,0.0002445052740751197,0.017100609989081188,0.00048796026662454445,0.0006630056404658523,0.00016301769426515828,0.00024808087732431836,0.00015536764400982266,0.0
"[1, 1, 0, 23, 15, 1]",0.0,0.0,0.010618053788107021,0.0,0.0,0.0,1.7157284803375e-05,0.00010550345860654221,0.0,8.433332899758177e-06
"[1, 1, 0, 23, 15, 0]",0.0,1.7039468253471338e-06,1.743555346225537e-06,8.810040606758692e-07,2.5587077406581534e-06,8.7660784160746e-07,0.0,0.0,9.3511350160352e-05,8.722335597161425e-07
"[1, 1, 0, 23, 16, 0]",2.93464216051419e-06,4.410912345498215e-06,0.0,0.00024036253286981778,2.2089896840814776e-06,0.0,3.031632044039838e-06,1.4902853398192535e-06,7.617716271231206e-07,1.4795684063891995e-06
"[1, 1, 0, 23, 17, 0]",0.00029836612287008796,0.027538190471510945,7.164619415840143e-05,0.0,0.00022787566761898537,0.000234838430297355,8.916948760635792e-05,0.00023007591224465302,7.396853489788756e-05,0.00015586857730117792
"[1, 1, 0, 31, 17, 0]",0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 1, 0, 31, 17, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 1, 0, 31, 18, 1]",0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 2, 0, 31, 18, 1]",0.0,8.973026991e-06,0.00299219547668058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 2, 0, 31, 19, 1]",0.0,0.0,0.003969726657590455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 2, 0, 31, 19, 2]",0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 2, 0, 31, 19, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 2, 0, 31, 20, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 2, 0, 31, 21, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 2, 0, 31, 21, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 2, 0, 31, 22, 1]",0.0,0.0,0.0,0.002946322993887734,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 2, 1, 31, 22, 1]",0.0,0.0,0.002993394076721484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 2, 1, 31, 22, 0]",8.074362970357777e-05,6.667656685427454e-05,5.009635350571967e-05,0.0001090099213534129,8.802588822115092e-05,6.242670491077752e-05,0.00013633539498154792,0.002063589023881291,6.582845658581478e-05,2.4998062961301164e-05
"[1, 2, 1, 31, 23, 0]",7.692964543667562e-05,0.00011882823584457813,7.351163433444408e-05,4.8516035037054605e-05,4.788842806070685e-05,0.002574075408849578,7.470124342782357e-05,4.7225466460509734e-05,4.6147629493172185e-05,0.0
"[1, 2, 2, 31, 23, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 2, 2, 31, 24, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7000000000000002e-05,0.0,0.0
"[1, 2, 2, 31, 25, 0]",0.0,0.0,0.0,0.0,0.0,2.67579697353986e-05,0.0028792977927985927,2.6892161892027005e-05,0.0,0.0
"[1, 2, 2, 31, 26, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43e-07
"[1, 2, 2, 31, 27, 0]",4.8677912189077185e-05,7.551684463142456e-05,0.0023740563041145745,5.047601857785823e-05,2.2018231430538214e-05,7.28735253115921e-05,5.287826935793966e-05,7.76344119671377e-05,7.178114811963003e-05,5.0744396144023123e-05
"[1, 2, 2, 31, 28, 0]",5.248511896170383e-05,2.6784754489888494e-05,5.092667699822294e-05,0.0,0.00277731073486448,0.0,2.6518109050389164e-05,2.649159094133877e-05,2.649159094133877e-05,0.0
"[1, 2, 3, 31, 28, 0]",0.0,0.0,0.0,0.0,6.561459460491366e-11,0.0,0.0,0.0,0.0,0.0
"[1, 0, 0, 15, 13, 0]",6.303699817496912e-09,1.110959028228864e-08,4.6384511481850085e-08,1.9082694889059107e-08,6.354339140864019e-09,1.789689444356535e-06,4.934619264375543e-09,1.1132079135241809e-08,1.1249139091929768e-08,0.00016256510421869155
"[0, 0, 0, 15, 15, 0]",2.7599139190453713e-08,0.0,0.0,0.0,3.863567993917115e-06,3.584568054937892e-08,0.0,3.5012786896388513e-08,3.494279633538264e-08,7.152510428214724e-09
"[0, 0, 0, 23, 15, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018466811442543294
"[0, 0, 0, 23, 15, 1]",0.0,0.0,0.0,0.0,0.0,0.00017441489098018776,0.0,0.0,0.0,0.0
"[1, 0, 0, 23, 16, 1]",1.7678830788476065e-05,1.762584731492417e-05,0.002906980517952583,0.0,1.7803079100000003e-05,8.91e-06,0.0,1.773197353088009e-05,2.6533068800646276e-05,0.0
"[0, 0, 0, 23, 16, 1]",0.0,8.91e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 23, 16, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 0, 23, 16, 0]",0.00048536279264131313,0.0006833284184533765,0.0003747228952463768,0.0010088401844966627,0.0010736363810794265,0.014755150424356846,0.0005676227210747287,0.00023504163994662994,0.00039162173721030505,0.000798231604966708
"[1, 0, 0, 23, 17, 0]",0.001057672831768143,0.0003060468376128566,0.001297619183337087,0.0006879769826691822,0.00070826049016764,0.0011303642668733594,0.04032279725916628,0.000955152106929412,0.0003227492359893188,0.0009925960698905386
"[0, 0, 0, 23, 17, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037343058766752554
"[0, 1, 0, 23, 17, 0]",0.0,0.0,0.0,0.0,0.0,0.00040645026462957833,0.0,0.0,0.0,0.0
"[1, 1, 0, 23, 18, 0]",0.00042842052659577165,0.0008035199586863754,0.0002844284180684116,0.014325925972783225,0.00042228149426387195,0.00015018308739704836,0.00038302855856223584,0.000386392748056931,0.0007690636999539327,0.0007679400793014066
"[0, 1, 0, 23, 18, 0]",0.0001344666875547661,8.099193790392759e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0006421398178467332,0.0
"[1, 1, 0, 23, 19, 0]",8.398507880240967e-05,0.011498965122996651,0.0002575794548933903,0.0002511868601042085,0.00019406233456237374,0.00017563002743250776,0.0002946164985761577,0.0,0.00016679487007620206,8.25686975229981e-05
"[1, 2, 0, 23, 19, 0]",0.0,0.0,0.0,0.0,2.43e-07,0.0,0.0,0.0,0.0,0.0
"[1, 2, 0, 23, 20, 0]",1.7712965524571522e-06,1.6897000095630324e-06,2.3992278990630687e-06,1.9976093369838704e-06,2.394986842964982e-06,3.1939306738045447e-06,1.4036580473436319e-05,1.3574031653047663e-06,2.3144203337042763e-06,2.495734420941648e-06
"[1, 2, 0, 23, 20, 1]",3.241590212025265e-05,7.5177800662544e-06,0.0018271696927727676,1.6279073823013306e-05,0.0,0.0,8.831734642988535e-06,7.998883033401519e-06,7.824743088669314e-06,7.662056319619855e-06
"[0, 2, 0, 23, 20, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
