,reward,workers,supply_depot,barracks
177,11.0,21.0,5.0,2.0
178,29.0,18.0,4.0,2.0
179,27.0,20.0,4.0,2.0
180,30.0,18.0,5.0,2.0
181,38.0,17.0,5.0,2.0
182,18.0,14.0,3.0,2.0
183,14.0,18.0,5.0,2.0
184,4.0,32.0,4.0,2.0
185,10.0,19.0,3.0,2.0
186,25.0,16.0,5.0,2.0
187,18.0,18.0,5.0,2.0
188,15.0,18.0,5.0,2.0
189,14.0,17.0,2.0,2.0
190,13.0,18.0,5.0,2.0
191,0.0,15.0,2.0,2.0
192,31.0,16.0,5.0,2.0
193,15.0,17.0,5.0,2.0
194,6.0,16.0,4.0,2.0
195,19.0,20.0,4.0,2.0
196,23.0,15.0,5.0,2.0
197,16.0,18.0,5.0,2.0
198,13.0,17.0,5.0,2.0
199,0.0,16.0,5.0,2.0
200,15.0,17.0,3.0,2.0
201,21.0,18.0,3.0,2.0
202,5.0,20.0,4.0,2.0
203,26.0,15.0,4.0,2.0
204,8.0,20.0,5.0,2.0
205,19.0,16.0,5.0,2.0
206,23.0,14.0,5.0,2.0
207,20.0,15.0,5.0,2.0
208,24.0,15.0,3.0,2.0
209,28.0,27.0,5.0,2.0
210,8.0,18.0,4.0,2.0
211,13.0,19.0,5.0,2.0
212,27.0,17.0,5.0,2.0
213,13.0,16.0,3.0,2.0
214,6.0,21.0,5.0,2.0
215,1.0,16.0,3.0,2.0
216,22.0,25.0,4.0,2.0
217,10.0,23.0,5.0,2.0
218,9.0,18.0,4.0,2.0
219,24.0,23.0,4.0,2.0
220,7.0,21.0,4.0,2.0
221,4.0,16.0,3.0,2.0
222,21.0,22.0,4.0,2.0
223,27.0,16.0,4.0,2.0
224,16.0,24.0,5.0,2.0
225,18.0,22.0,5.0,2.0
226,15.0,18.0,5.0,2.0
227,2.0,19.0,5.0,2.0
228,21.0,19.0,5.0,2.0
229,21.0,17.0,5.0,2.0
230,11.0,14.0,5.0,2.0
231,24.0,17.0,5.0,2.0
232,18.0,15.0,4.0,2.0
233,24.0,15.0,5.0,2.0
234,18.0,15.0,5.0,2.0
235,9.0,17.0,4.0,2.0
236,11.0,18.0,5.0,2.0
237,18.0,29.0,4.0,2.0
238,11.0,17.0,5.0,2.0
239,4.0,31.0,3.0,2.0
240,10.0,15.0,3.0,2.0
241,24.0,16.0,5.0,2.0
242,28.0,21.0,5.0,2.0
243,5.0,19.0,3.0,2.0
244,6.0,18.0,5.0,2.0
245,15.0,17.0,3.0,2.0
246,0.0,17.0,3.0,2.0
247,10.0,17.0,5.0,2.0
248,23.0,16.0,5.0,1.0
249,31.0,16.0,4.0,2.0
250,25.0,20.0,5.0,2.0
251,24.0,15.0,3.0,2.0
252,1.0,21.0,4.0,2.0
253,8.0,16.0,5.0,2.0
254,30.0,17.0,4.0,2.0
255,2.0,17.0,3.0,2.0
256,7.0,23.0,5.0,2.0
257,2.0,24.0,5.0,2.0
258,27.0,15.0,4.0,2.0
259,0.0,23.0,2.0,2.0
260,10.0,26.0,5.0,2.0
261,33.0,20.0,5.0,2.0
262,15.0,21.0,5.0,2.0
263,20.0,19.0,3.0,2.0
264,25.0,15.0,4.0,2.0
265,9.0,17.0,5.0,2.0
266,7.0,22.0,4.0,2.0
267,25.0,19.0,5.0,1.0
268,7.0,23.0,4.0,2.0
269,23.0,19.0,5.0,2.0
270,0.0,15.0,0.0,0.0
271,31.0,16.0,4.0,2.0
272,16.0,24.0,4.0,2.0
273,19.0,21.0,4.0,2.0
274,5.0,18.0,5.0,2.0
275,1.0,18.0,5.0,2.0
276,15.0,20.0,4.0,2.0
277,4.0,19.0,1.0,2.0
278,0.0,23.0,4.0,0.0
279,14.0,17.0,3.0,2.0
280,3.0,16.0,3.0,2.0
281,1.0,17.0,5.0,2.0
282,11.0,19.0,4.0,2.0
283,2.0,20.0,5.0,2.0
284,15.0,22.0,5.0,2.0
285,7.0,21.0,4.0,2.0
286,0.0,21.0,4.0,2.0
287,14.0,18.0,3.0,2.0
288,18.0,18.0,5.0,2.0
289,10.0,20.0,5.0,2.0
290,19.0,20.0,5.0,2.0
291,0.0,16.0,3.0,2.0
292,10.0,21.0,4.0,2.0
293,16.0,18.0,5.0,2.0
294,24.0,23.0,4.0,2.0
295,20.0,18.0,3.0,2.0
296,14.0,16.0,5.0,2.0
297,7.0,19.0,5.0,2.0
298,27.0,17.0,5.0,2.0
299,37.0,18.0,5.0,2.0
300,21.0,19.0,4.0,2.0
301,4.0,20.0,2.0,2.0
302,24.0,15.0,3.0,2.0
303,12.0,16.0,3.0,2.0
304,11.0,17.0,5.0,2.0
305,37.0,18.0,5.0,2.0
306,24.0,23.0,4.0,2.0
307,17.0,21.0,4.0,2.0
308,13.0,17.0,4.0,2.0
309,35.0,20.0,5.0,2.0
310,18.0,15.0,5.0,2.0
311,11.0,20.0,2.0,2.0
312,37.0,18.0,5.0,2.0
313,13.0,19.0,4.0,2.0
314,9.0,21.0,3.0,2.0
315,0.0,16.0,4.0,2.0
316,0.0,18.0,3.0,2.0
317,9.0,27.0,4.0,2.0
318,2.0,18.0,4.0,2.0
319,4.0,17.0,3.0,2.0
320,8.0,17.0,4.0,2.0
321,26.0,14.0,5.0,2.0
322,0.0,16.0,5.0,2.0
323,0.0,16.0,5.0,2.0
324,16.0,15.0,3.0,2.0
325,20.0,19.0,4.0,2.0
326,15.0,18.0,3.0,2.0
327,5.0,18.0,5.0,2.0
328,4.0,20.0,4.0,2.0
329,6.0,16.0,5.0,2.0
330,5.0,16.0,5.0,2.0
331,0.0,19.0,3.0,0.0
332,5.0,18.0,4.0,2.0
333,1.0,16.0,2.0,2.0
334,2.0,15.0,4.0,1.0
335,2.0,21.0,2.0,1.0
336,4.0,17.0,4.0,2.0
337,6.0,18.0,5.0,2.0
338,8.0,17.0,5.0,2.0
339,11.0,21.0,5.0,2.0
340,22.0,19.0,5.0,2.0
341,1.0,12.0,3.0,2.0
342,4.0,20.0,5.0,2.0
343,2.0,17.0,3.0,2.0
344,3.0,25.0,5.0,2.0
345,6.0,18.0,5.0,2.0
346,16.0,15.0,5.0,2.0
347,31.0,14.0,5.0,2.0
348,16.0,13.0,4.0,2.0
349,17.0,17.0,3.0,2.0
350,15.0,21.0,4.0,2.0
351,18.0,17.0,5.0,2.0
352,20.0,15.0,5.0,2.0
353,10.0,17.0,5.0,2.0
354,35.0,16.0,5.0,2.0
355,27.0,18.0,5.0,2.0
356,20.0,20.0,4.0,2.0
357,19.0,19.0,5.0,2.0
358,9.0,16.0,3.0,2.0
359,6.0,16.0,3.0,2.0
360,7.0,19.0,4.0,2.0
361,17.0,16.0,5.0,2.0
362,11.0,21.0,5.0,2.0
363,24.0,23.0,5.0,2.0
364,0.0,18.0,5.0,2.0
365,1.0,28.0,5.0,2.0
366,1.0,18.0,4.0,2.0
367,26.0,17.0,5.0,2.0
368,21.0,19.0,4.0,2.0
369,28.0,16.0,5.0,2.0
370,2.0,14.0,5.0,2.0
371,26.0,17.0,4.0,2.0
372,25.0,18.0,5.0,2.0
373,2.0,17.0,3.0,2.0
374,27.0,18.0,5.0,2.0
375,8.0,15.0,1.0,2.0
376,6.0,20.0,5.0,2.0
377,0.0,14.0,5.0,2.0
378,2.0,18.0,4.0,2.0
379,8.0,15.0,2.0,2.0
380,8.0,16.0,5.0,2.0
381,31.0,16.0,4.0,2.0
382,23.0,18.0,5.0,2.0
383,5.0,20.0,5.0,2.0
384,7.0,15.0,3.0,2.0
385,6.0,17.0,5.0,2.0
386,0.0,18.0,4.0,2.0
387,16.0,17.0,5.0,2.0
388,14.0,17.0,4.0,2.0
389,15.0,17.0,5.0,2.0
390,6.0,19.0,5.0,2.0
391,3.0,21.0,3.0,2.0
392,15.0,14.0,5.0,2.0
393,13.0,16.0,5.0,2.0
394,12.0,16.0,5.0,2.0
395,9.0,15.0,5.0,2.0
396,4.0,19.0,5.0,2.0
397,4.0,17.0,5.0,2.0
398,0.0,16.0,2.0,2.0
399,23.0,19.0,5.0,2.0
400,4.0,19.0,3.0,2.0
401,18.0,21.0,3.0,2.0
402,0.0,16.0,1.0,0.0
403,13.0,16.0,4.0,2.0
404,10.0,15.0,4.0,2.0
405,3.0,16.0,3.0,1.0
406,10.0,19.0,4.0,2.0
407,8.0,23.0,4.0,2.0
408,9.0,24.0,4.0,2.0
409,16.0,17.0,4.0,2.0
410,7.0,20.0,5.0,2.0
411,12.0,15.0,5.0,2.0
412,8.0,15.0,2.0,2.0
413,0.0,13.0,0.0,0.0
414,10.0,21.0,4.0,2.0
415,7.0,16.0,3.0,2.0
416,1.0,15.0,3.0,2.0
417,9.0,18.0,4.0,2.0
418,10.0,16.0,2.0,2.0
419,33.0,17.0,5.0,1.0
420,33.0,17.0,5.0,2.0
421,18.0,18.0,4.0,2.0
422,10.0,17.0,5.0,2.0
423,11.0,19.0,5.0,2.0
424,9.0,18.0,5.0,2.0
425,21.0,18.0,4.0,2.0
426,19.0,16.0,5.0,2.0
427,15.0,18.0,5.0,2.0
428,23.0,18.0,5.0,2.0
429,35.0,20.0,5.0,2.0
430,7.0,18.0,4.0,2.0
431,33.0,14.0,4.0,2.0
432,21.0,24.0,5.0,2.0
433,9.0,20.0,3.0,2.0
434,30.0,18.0,5.0,2.0
435,25.0,16.0,5.0,2.0
436,23.0,15.0,5.0,2.0
437,33.0,22.0,5.0,2.0
438,36.0,18.0,5.0,1.0
439,22.0,17.0,3.0,2.0
440,27.0,18.0,5.0,2.0
441,30.0,15.0,4.0,2.0
442,25.0,15.0,5.0,2.0
443,20.0,19.0,5.0,2.0
444,19.0,20.0,4.0,2.0
445,30.0,18.0,5.0,2.0
446,5.0,17.0,5.0,2.0
447,19.0,20.0,4.0,2.0
448,1.0,22.0,5.0,2.0
449,11.0,17.0,4.0,2.0
450,5.0,18.0,5.0,2.0
451,30.0,17.0,4.0,2.0
452,37.0,18.0,5.0,2.0
453,24.0,15.0,3.0,2.0
454,25.0,18.0,5.0,2.0
455,20.0,17.0,3.0,2.0
456,7.0,19.0,3.0,2.0
457,24.0,18.0,5.0,2.0
458,5.0,13.0,5.0,2.0
459,13.0,15.0,5.0,2.0
460,28.0,19.0,5.0,2.0
461,2.0,17.0,5.0,2.0
462,25.0,22.0,4.0,2.0
463,24.0,17.0,5.0,2.0
464,16.0,20.0,5.0,2.0
465,12.0,19.0,2.0,2.0
466,22.0,16.0,5.0,2.0
467,24.0,14.0,5.0,2.0
468,24.0,15.0,5.0,2.0
469,0.0,18.0,2.0,0.0
470,0.0,16.0,5.0,2.0
471,27.0,17.0,5.0,2.0
472,13.0,14.0,5.0,2.0
473,22.0,16.0,4.0,2.0
474,1.0,20.0,3.0,2.0
475,28.0,19.0,4.0,2.0
476,26.0,18.0,5.0,2.0
477,13.0,16.0,3.0,2.0
478,35.0,20.0,5.0,2.0
479,21.0,19.0,5.0,2.0
480,14.0,19.0,5.0,2.0
481,11.0,16.0,5.0,2.0
482,0.0,19.0,5.0,2.0
483,14.0,17.0,5.0,2.0
484,22.0,17.0,3.0,2.0
485,18.0,17.0,5.0,2.0
486,1.0,18.0,4.0,2.0
487,0.0,16.0,4.0,2.0
488,0.0,15.0,1.0,2.0
489,0.0,18.0,4.0,2.0
490,0.0,13.0,0.0,0.0
491,0.0,17.0,3.0,1.0
492,6.0,19.0,4.0,2.0
493,7.0,13.0,5.0,2.0
494,5.0,19.0,5.0,2.0
495,19.0,22.0,5.0,2.0
496,12.0,23.0,4.0,2.0
497,30.0,18.0,5.0,2.0
498,27.0,20.0,4.0,2.0
499,19.0,17.0,3.0,2.0
500,9.0,17.0,4.0,2.0
501,17.0,23.0,4.0,2.0
502,11.0,19.0,4.0,2.0
503,0.0,15.0,2.0,0.0
504,11.0,19.0,5.0,2.0
505,6.0,16.0,5.0,2.0
506,1.0,16.0,3.0,2.0
507,3.0,15.0,2.0,2.0
508,1.0,18.0,4.0,1.0
509,10.0,15.0,4.0,2.0
510,0.0,17.0,2.0,0.0
511,8.0,13.0,5.0,2.0
512,0.0,17.0,1.0,2.0
513,0.0,15.0,3.0,1.0
514,26.0,21.0,4.0,2.0
515,10.0,17.0,5.0,2.0
516,17.0,16.0,5.0,2.0
517,11.0,16.0,4.0,2.0
518,2.0,14.0,5.0,2.0
519,5.0,18.0,1.0,2.0
520,23.0,15.0,5.0,2.0
521,7.0,18.0,3.0,2.0
522,5.0,16.0,3.0,1.0
523,5.0,15.0,5.0,2.0
524,1.0,15.0,4.0,2.0
525,0.0,16.0,3.0,2.0
526,14.0,15.0,4.0,2.0
527,10.0,15.0,3.0,2.0
528,0.0,13.0,3.0,2.0
529,0.0,14.0,2.0,0.0
530,0.0,14.0,3.0,1.0
531,1.0,17.0,4.0,2.0
532,0.0,17.0,1.0,2.0
533,24.0,18.0,5.0,2.0
