state,0,1,2,3,4,5,6,7,8,9,10
"[0, 0, 0, 0, 0, 0]",0.10166054026652993,0.10059284828174399,0.10331189988802986,0.10253199437785272,0.10116867609552156,0.10100875228696078,0.21371814284183857,0.10224688859278405,0.10396266907544974,0.10237513855473135,0.10297437960864617
"[0, 1, 0, 0, 0, 0]",0.17814720159043745,0.18001943457206404,0.18086780221545476,0.17813950366880613,0.17612058845220296,0.19125892754239418,0.28326203207172695,0.18029290436961595,0.17655053573379106,0.181473530715663,0.17752093048799678
"[0, 2, 0, 0, 0, 0]",0.11571424668784305,0.10966566720032812,0.17164825093684463,0.10032671456056924,0.11277536238550197,0.1172006922825319,0.28219418117196804,0.10543819864353494,0.10099087331052173,0.11566119651191069,0.12166419605374994
"[1, 0, 0, 0, 0, 0]",5.30623349568446,5.3332938585459235,5.334547304209509,5.339932242851573,5.330148734246727,5.336112650961874,5.909619950256759,5.336958425350949,5.211472297936901,5.33238954696996,5.336204949092498
"[1, 0, 1, 0, 0, 0]",4.353081028768746,4.378057085852337,4.46009826812838,4.172066106814029,4.369084964585691,4.157634643742096,5.831543501718547,4.226837874025192,4.132809181945017,4.323094527951432,4.459310409623484
"[1, 0, 1, 1, 0, 0]",2.2045809327924006,2.4243059991920903,2.575019397014966,2.3609925722120124,2.1635315326504996,2.3620600379079297,5.464145812066871,2.1699828011296356,2.2037338615780735,2.1605866966901957,2.490947739156834
"[1, 0, 0, 1, 0, 0]",5.1381010981014095,5.1286020207632275,5.1262081140211855,5.143505758024844,5.251493247395618,5.124486355155181,5.7953834123146,5.221925144371968,5.132619800194725,5.154106420405126,5.150395602604284
"[0, 0, 1, 1, 0, 0]",0.0017321483856726342,0.0,0.0,0.0,0.12932993367296186,0.00038129542476398,0.0,0.005078646213738853,0.0,0.0005728867500970078,0.0
"[0, 0, 1, 0, 0, 0]",0.2151872394840722,0.2248607034686556,0.21571865972645562,0.2011860531489684,0.20352861758476623,0.22769163040290413,0.4937025661490323,0.23560100872863354,0.1832131786144199,0.22486849330833938,0.20975539869205895
"[0, 0, 0, 1, 0, 0]",0.003103019346459288,0.003735927337064728,0.003626631442383,0.004012687616701746,0.008328220880102856,0.003644977268146123,0.0010634739247829162,0.10836914440209136,0.007751505364049072,0.002448639116300142,0.0024260280579520978
"[1, 0, 0, 1, 0, 1]",0.043014148271560644,0.06224206480102503,0.03321699423009102,0.05601711967027137,3.855903317306594,0.06403396282642324,0.12078062037111131,0.04369304767494263,0.06746240942975017,0.034406198914082066,3.0944170692994286e-05
"[1, 0, 1, 1, 0, 1]",0.03420447848054903,0.01039477209256196,0.008347969300704156,0.0026832870865220303,0.07886062936459093,0.0037769565603282735,1.4352437943307543,0.0,0.02615041199838679,0.0029904186388740113,0.005984815135904973
"[1, 0, 0, 0, 0, 1]",2.7237429393116264,2.9753007751528755,2.7625578804092608,2.9153225322265475,2.7829169723040987,3.133442122816647,4.925503636101585,2.6948482708620642,1.6770521991793468,2.768896501001414,2.8032527036367347
"[1, 0, 0, 0, 50, 1]",0.002930431882631289,0.0034388355508761194,0.008113361184441097,0.007849782405118622,0.00602088920336422,0.021391081373839015,0.9927018806454253,0.01840243008164385,0.0001720463712498465,0.011112573145694271,0.0
"[0, 0, 0, 0, 50, 1]",0.0059527289647623265,0.008097660963743715,0.024329478957700778,0.009895416647199702,0.00896837563147047,0.01205440059672967,0.015450960487535866,0.019744402259343173,0.005952812093710638,0.00624272911388444,0.19149315867012576
"[0, 0, 0, 1, 50, 1]",0.002075947240316821,0.001301600647952569,0.0009617761775829993,0.08011559719327677,0.003876436700156949,0.0029007279509157464,0.003790413498027697,0.00613024599548164,0.0029230042806064477,0.0013576472234909814,0.0014515013269377056
"[0, 0, 0, 1, 175, 1]",0.012299543503005746,0.012202094388474471,0.012449893674520847,0.023562750378976358,0.01722419469375671,0.01701912707423337,0.026788530527552156,0.020327019557210616,0.01681587481713439,0.10345675500296009,0.014818700200721206
"[0, 0, 0, 1, 225, 1]",0.03761041479468143,0.019921172736734445,0.022019984212316292,0.02756006675814134,0.12644594843750534,0.02638137941203628,0.023560801088767784,0.029731175306171566,0.03389790130593517,0.025650506390510454,0.026238265461130977
"[1, 0, 0, 1, 225, 1]",0.1296446697114369,0.05544307446120581,0.12472765151375355,0.09753900399463179,0.22289472881684166,0.05191106455563627,2.750164040266745,0.0867443903725748,0.09335617054705393,0.06813594917012643,0.026742021309037585
"[1, 0, 0, 1, 275, 1]",0.0017120514967497104,0.011405713486810092,0.012056678967727821,0.11980038962787536,0.26014721044829076,0.011746073336492451,0.01998089737446468,0.08752548081042134,0.002884874895270284,0.0021746987157248623,0.0032221924027841134
"[1, 0, 0, 1, 325, 1]",0.0,1.5563545412433684e-06,0.0,0.0,0.0069752046490765855,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 0, 0, 325, 1]",0.010390655005328979,0.0024259723401749284,0.001507172708399829,0.0012325062370644926,8.048481398930281e-05,0.0015053593873336941,0.03269478319315082,0.15635576525966935,0.0,0.0,0.0004131883223525874
"[1, 0, 0, 0, 375, 1]",8.920290153136318e-05,0.0,0.16117117193249314,0.0,0.0006104843692662494,0.01791396074685255,0.018761388230347936,0.0029096669451055754,0.00041157431514275353,0.000806188282475849,0.00043096461031814914
