,mineral_count,vispen_count,scv_count,reward
203,1260.0,292.0,14.0,
204,1245.0,468.0,12.0,
205,940.0,244.0,12.0,
206,1920.0,280.0,15.0,
207,2010.0,0.0,14.0,
208,1455.0,264.0,13.0,
209,2065.0,128.0,13.0,
210,2630.0,0.0,16.0,
211,105.0,428.0,15.0,
212,865.0,184.0,14.0,
213,1280.0,276.0,18.0,
214,1410.0,224.0,15.0,
215,1265.0,576.0,17.0,
216,1425.0,312.0,17.0,
217,1380.0,472.0,14.0,
218,55.0,384.0,15.0,
219,1085.0,52.0,14.0,
220,920.0,516.0,15.0,
221,940.0,204.0,19.0,
222,1530.0,200.0,16.0,
223,55.0,356.0,15.0,
224,135.0,416.0,14.0,
225,90.0,284.0,15.0,
226,10.0,172.0,15.0,
227,1090.0,400.0,14.0,
228,1095.0,456.0,13.0,
229,2305.0,160.0,15.0,
230,1495.0,280.0,15.0,
231,1430.0,92.0,15.0,
232,680.0,368.0,15.0,
233,2565.0,0.0,15.0,
234,0.0,0.0,13.0,
235,1125.0,132.0,15.0,
236,895.0,468.0,14.0,
237,685.0,340.0,13.0,
238,1030.0,196.0,15.0,
239,685.0,556.0,15.0,
240,780.0,284.0,12.0,
241,45.0,348.0,13.0,
242,2170.0,0.0,15.0,
243,1100.0,568.0,14.0,
244,1705.0,188.0,13.0,
245,965.0,412.0,14.0,
246,1565.0,28.0,15.0,
247,1510.0,392.0,15.0,
248,2045.0,140.0,13.0,
249,1555.0,556.0,15.0,
250,1355.0,628.0,12.0,
251,1535.0,304.0,13.0,
252,965.0,588.0,14.0,
253,1030.0,580.0,13.0,
254,1265.0,416.0,13.0,
255,1750.0,404.0,15.0,
256,1875.0,368.0,13.0,
257,2460.0,8.0,15.0,
258,1140.0,472.0,14.0,
259,1255.0,528.0,13.0,
260,1470.0,340.0,14.0,
261,1420.0,404.0,13.0,
262,1575.0,120.0,12.0,
263,1775.0,168.0,17.0,
264,1150.0,696.0,14.0,
265,805.0,416.0,13.0,
266,750.0,448.0,13.0,
267,85.0,280.0,14.0,
268,1615.0,80.0,15.0,
269,1990.0,140.0,15.0,
270,2205.0,0.0,15.0,
271,1375.0,264.0,16.0,
272,520.0,444.0,12.0,
273,1755.0,132.0,15.0,
274,2165.0,0.0,13.0,
275,1055.0,560.0,14.0,
276,2215.0,124.0,15.0,
277,775.0,536.0,14.0,
278,55.0,380.0,14.0,
279,850.0,372.0,15.0,
280,2600.0,0.0,15.0,
281,1235.0,536.0,14.0,
282,865.0,384.0,13.0,
283,1525.0,176.0,13.0,
284,520.0,304.0,15.0,
285,1360.0,368.0,15.0,
286,1955.0,220.0,15.0,
287,2290.0,72.0,15.0,
288,1980.0,68.0,15.0,
289,1255.0,264.0,14.0,
290,1120.0,108.0,13.0,
291,1270.0,376.0,13.0,
292,770.0,548.0,15.0,
293,1175.0,136.0,13.0,
294,635.0,428.0,14.0,
295,1240.0,408.0,15.0,
