state,0,1,2,3,4,5,6,7
"[0, 0, 0]",6.621817803532237e-05,6.641120938505736e-05,6.640764439139699e-05,9.270518780304165e-05,6.62683289846572e-05,6.622955082386096e-05,6.653075985122346e-05,6.605680942579221e-05
"[0, 0, 1]",0.0007718154756507505,0.0007156159209105569,0.0008281737577977458,0.0008104166900399996,0.0007634309419719171,0.001315257789549466,0.0006381419009236077,0.0007280066725492742
"[1, 0, 1]",0.0022795072251209085,0.002270753657856567,0.0023292452361782026,0.002269778629506303,0.0022709560483231113,0.0022690744224452544,0.0022674545310686646,0.002271546210685729
"[1, 0, 2]",0.007667425934423143,0.007664743237897286,0.007659156667049913,0.007665810303555812,0.0076689988343643335,0.007665907101390128,0.007665845909521797,0.007792372590763096
"[1, 0, 3]",0.010237962014647939,0.010444171445171777,0.010352674215940081,0.010278946000386617,0.010442793906455786,0.020221471147269243,0.010362037141641895,0.009909480877519404
"[2, 0, 3]",0.0343971763482548,0.03397433773493069,0.04298191376423314,0.033942259396165644,0.033945725716799977,0.03394014519333063,0.03394306322572272,0.034062385887985235
"[2, 0, 4]",0.07487862175805307,0.06150639148449114,0.05993746837219397,0.07454166740300089,0.06420905171521545,0.060525488720037914,0.06420119265712058,0.06423672206681662
"[2, 0, 5]",0.04438026471508737,0.05607407302618438,0.05918466515384971,0.04485270440573758,0.050097472054862785,0.050765713200492904,0.04581529943983295,0.09450923901581362
"[2, 1, 5]",0.081888769945144,0.06830563347416566,0.06560449630936581,0.07975484954526403,0.07976802055370279,0.08181869838328173,0.12262287447236296,0.09019152946146482
"[2, 2, 5]",0.08059886630923965,0.09167220379405139,0.0856211610974476,0.07208657538423463,0.0751816992221755,0.09301507905150878,0.18951255866542724,0.084267315996849
"[2, 3, 5]",0.09824257580496049,0.09875031192214936,0.09166642892206378,0.08132901046512757,0.12185712151615205,0.09633863064822987,0.09973757040933165,0.17122968608723113
"[2, 4, 5]",0.106266716677719,0.10801251076532009,0.09534489859729287,0.10040949793078728,0.11182095243632505,0.1097126907508667,0.09393020121326719,0.19022235197838744
"[2, 5, 5]",0.08049943703597746,0.07599899910092837,0.08584922817768877,0.08873157452584379,0.0832365505157733,0.10498362935247703,0.09217236000356743,0.15827341591018607
"[2, 6, 5]",0.06599309598375182,0.06577592497816312,0.09228687668011445,0.06606590429356356,0.0660831054110194,0.06607740800822866,0.0660436219194822,0.0655235829115961
"[2, 7, 5]",0.06043776338265217,0.057842210042172985,0.054021775350535164,0.05451074614370251,0.07051403965002133,0.06042513851537326,0.05483072419160415,0.055502611524342875
"[2, 8, 5]",0.08395530510538429,0.07042377375831244,0.07354328140204879,0.07170159822128587,0.0725430467857229,0.07351159274248519,0.07237159842202093,0.07314753656387506
"[2, 9, 5]",0.08924751858834429,0.07906894553565458,0.07767797963799122,0.07913081389723739,0.079341061520059,0.07781952837315995,0.13064164076952,0.07999620039281971
"[2, 10, 5]",0.07144162438644802,0.10184044076582735,0.08413499567739345,0.07984661921567908,0.09461836661072172,0.08370240745468244,0.07408691294471713,0.16438943364482714
"[2, 11, 5]",0.08293598794822053,0.09895368255572755,0.08654963646570377,0.09900098203208399,0.09063878210592946,0.07406305928254751,0.08398063452204996,0.12582109773328734
"[2, 12, 5]",0.08097040007848333,0.08097028775398309,0.09096712899469593,0.08103158121132148,0.08101793983796113,0.07521732075415868,0.07000029350852383,0.08102524258679816
"[2, 13, 5]",0.050565356853175016,0.048896217770039024,0.05260991212824924,0.05019845223719363,0.05103405686409584,0.07112871908195438,0.0510057239789166,0.05067305707237907
"[2, 14, 5]",0.045037941297359614,0.04238208224958832,0.06464235806095885,0.0573837618460629,0.06161944857672403,0.04575456909921919,0.09345910322605318,0.04413019957339968
"[2, 15, 5]",0.12509160369218425,0.03787473989411707,0.02832577298593073,0.03160916047024664,0.031468566291441374,0.03470490181625689,0.030449293801581685,0.04176127627098289
"[2, 16, 5]",0.029839016671893,0.02628281800388495,0.03283010080011457,0.030804974278868767,0.04858436107730584,0.025666543572269333,0.031365041225455775,0.1430355398276801
"[2, 17, 5]",0.027925014959994384,0.019604933419677083,0.020957661501395834,0.025239997409982284,0.03999013699423284,0.021206103937519323,0.027641763614023738,0.02525520524299671
"[2, 18, 5]",0.018522632160289595,0.015533114308934335,0.009603687405685518,0.006565805373962794,0.1324083937395462,0.011858815515111556,0.008405820827033136,0.007473575555149123
"[2, 19, 5]",0.00884215413811588,0.009056412256079418,0.009904486592690743,0.00747937332723811,0.020330816655602647,0.05938609243819449,0.010183895105758229,0.009793625447230567
"[2, 20, 5]",0.013175244074572448,0.004771990749208155,0.0033263586704227327,0.013554441475272851,0.029822167035272063,0.003330774124383237,0.003346156673890814,0.003498422016905907
